frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
182.13,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
183.95,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
185.79,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
187.65,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
189.52,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
191.42,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
193.33,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
195.27,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
197.22,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
199.19,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
201.18,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
203.19,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
205.23,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
207.28,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
209.35,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
211.44,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
213.56,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
215.69,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
217.85,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
220.03,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
222.23,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
224.45,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
226.70,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
228.96,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
231.25,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
233.57,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
235.90,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
