frequency,raw
9367.83,1.11
9461.51,1.36
9556.12,1.67
9651.68,1.97
9748.20,2.22
9845.68,2.43
9944.14,2.59
10043.58,2.69
10144.02,2.86
10245.46,3.04
10347.91,3.27
10451.39,3.58
10555.91,3.89
10661.46,4.12
10768.08,4.32
10875.76,4.43
10984.52,4.51
11094.36,4.50
11205.31,4.62
11317.36,4.82
11430.53,5.13
11544.84,5.38
11660.29,5.48
11776.89,5.51
11894.66,5.25
12013.60,4.75
12133.74,4.28
12255.08,3.59
12377.63,2.90
12501.41,2.09
12626.42,1.33
12752.68,0.47
12880.21,-0.44
13009.01,-1.41
13139.10,-2.51
13270.49,-3.69
13403.20,-4.97
13537.23,-6.37
13672.60,-7.78
13809.33,-8.84
13947.42,-9.08
14086.90,-8.65
14227.77,-7.93
14370.04,-7.29
14513.74,-6.95
14658.88,-7.02
14805.47,-7.55
14953.52,-8.46
15103.06,-9.40
15254.09,-10.34
15406.63,-11.20
15560.70,-12.03
15716.30,-12.77
15873.47,-13.28
16032.20,-13.62
16192.52,-13.76
16354.45,-13.76
16517.99,-13.73
16683.17,-13.49
16850.01,-12.97
17018.51,-12.17
17188.69,-11.10
17360.58,-9.87
17534.18,-8.68
17709.53,-7.49
17886.62,-6.30
18065.49,-5.07
18246.14,-3.66
18428.60,-2.63
18612.89,-1.85
18799.02,-1.30
18987.01,-0.98
19176.88,-0.66
19368.65,-0.26
19562.33,0.01
19757.96,0.37
19955.54,0.70
20155.09,1.03
20356.64,1.36
20560.21,1.69
20765.81,2.02
20973.47,2.35
21183.20,2.68
21395.04,3.01
21608.99,3.34
21825.08,3.67
